momento,parto,regiao,uf,grupo,criticidade,records
durante,NORMAL,Sudeste,SP,5,0,702438
durante,CESARIANO,Sudeste,SP,5,0,380848
durante,NORMAL,Sudeste,RJ,5,0,320186
durante,NORMAL,Nordeste,BA,1,0,295277
antes,NORMAL,Sudeste,SP,5,0,243108
depois,NORMAL,Sudeste,SP,5,0,224048
durante,NORMAL,Nordeste,MA,1,0,216300
durante,NORMAL,Norte,PA,1,0,212661
durante,NORMAL,Sudeste,SP,4,0,180673
antes,CESARIANO,Sudeste,SP,5,0,126185
durante,NORMAL,Norte,AM,4,0,123318
depois,CESARIANO,Sudeste,SP,5,0,122837
durante,NORMAL,Nordeste,CE,1,0,121756
durante,CESARIANO,Norte,PA,1,0,120977
durante,NORMAL,Sul,RS,5,0,120349
antes,NORMAL,Nordeste,BA,1,0,119497
durante,NORMAL,Sudeste,MG,1,0,114226
durante,CESARIANO,Nordeste,BA,1,0,109797
durante,NORMAL,Sul,PR,5,0,107940
antes,NORMAL,Sudeste,RJ,5,0,106539
durante,CESARIANO,Sudeste,SP,4,0,102916
depois,NORMAL,Sudeste,RJ,5,0,99853
durante,NORMAL,Sul,PR,3,0,98915
durante,CESARIANO,Sudeste,SP,3,0,91668
durante,NORMAL,Nordeste,PE,1,0,91350
depois,NORMAL,Nordeste,BA,1,0,87922
durante,NORMAL,Nordeste,BA,1,1,87897
durante,CESARIANO,Sudeste,RJ,5,0,87239
durante,NORMAL,Sudeste,MG,3,0,86873
antes,NORMAL,Nordeste,MA,1,0,86765
durante,CESARIANO,Sul,PR,3,0,85023
durante,CESARIANO,Sul,RS,3,0,83202
durante,NORMAL,Norte,AM,1,0,82386
durante,NORMAL,Nordeste,BA,5,0,81858
durante,NORMAL,Sul,RS,3,0,80894
antes,NORMAL,Norte,PA,1,0,80769
durante,CESARIANO,Sudeste,MG,1,0,78301
durante,NORMAL,Sudeste,RJ,5,1,77631
durante,CESARIANO,Nordeste,CE,1,0,74398
durante,NORMAL,Sudeste,SP,3,0,71660
durante,CESARIANO,Sul,RS,5,0,70858
depois,NORMAL,Norte,PA,1,0,70451
durante,CESARIANO,Norte,AM,4,0,67741
durante,CESARIANO,Nordeste,CE,5,0,67511
durante,NORMAL,Sudeste,MG,0,0,65912
durante,NORMAL,Nordeste,PE,5,0,63637
durante,CESARIANO,Sudeste,MG,3,0,63116
antes,NORMAL,Sudeste,SP,4,0,61981
durante,NORMAL,Sudeste,SP,5,1,61753
durante,CESARIANO,Norte,PA,4,0,60331
depois,NORMAL,Sudeste,SP,4,0,59732
antes,NORMAL,Nordeste,CE,1,0,59386
durante,NORMAL,Nordeste,CE,5,0,58012
durante,CESARIANO,Sul,PR,5,0,57149
depois,NORMAL,Nordeste,MA,1,0,57124
durante,CESARIANO,Nordeste,MA,1,0,56682
durante,CESARIANO,Nordeste,PE,1,0,56162
durante,CESARIANO,Nordeste,BA,1,1,53417
durante,NORMAL,Nordeste,BA,3,0,52900
durante,NORMAL,Nordeste,PE,1,1,52807
durante,NORMAL,Nordeste,CE,1,1,51297
durante,NORMAL,Centro-Oeste,MT,2,0,50838
durante,NORMAL,Sudeste,MG,1,1,50578
durante,CESARIANO,Nordeste,CE,1,1,50306
durante,NORMAL,Centro-Oeste,MS,4,0,49421
antes,NORMAL,Sudeste,MG,1,0,48751
durante,CESARIANO,Sudeste,SP,5,1,48391
durante,CESARIANO,Sudeste,MG,0,0,47597
durante,NORMAL,Sudeste,MG,3,1,47381
depois,CESARIANO,Sudeste,RJ,5,0,46697
durante,CESARIANO,Nordeste,PE,1,1,46373
durante,CESARIANO,Centro-Oeste,MS,4,0,46171
durante,NORMAL,Sul,SC,5,0,45805
depois,CESARIANO,Norte,PA,1,0,45487
durante,NORMAL,Nordeste,PB,3,0,44561
durante,NORMAL,Nordeste,AL,1,0,44516
antes,NORMAL,Nordeste,PE,1,0,44428
durante,NORMAL,Norte,AP,2,0,44137
durante,NORMAL,Centro-Oeste,GO,3,0,43780
durante,NORMAL,Norte,PA,4,0,43528
durante,NORMAL,Nordeste,MA,1,1,42767
durante,NORMAL,Nordeste,PE,5,1,42358
durante,CESARIANO,Centro-Oeste,GO,3,0,42351
durante,NORMAL,Nordeste,MA,4,0,42324
antes,NORMAL,Sul,PR,3,0,41936
durante,CESARIANO,Sudeste,MG,5,0,41603
depois,NORMAL,Norte,AM,4,0,41263
antes,NORMAL,Sul,RS,5,0,41186
durante,NORMAL,Sudeste,ES,5,0,41139
antes,NORMAL,Norte,AM,4,0,40254
antes,NORMAL,Sul,PR,5,0,40152
durante,CESARIANO,Sul,SC,3,0,39707
durante,CESARIANO,Centro-Oeste,MT,2,0,39606
durante,NORMAL,Nordeste,AL,1,1,38331
antes,CESARIANO,Sudeste,SP,4,0,38276
durante,NORMAL,Nordeste,PI,1,0,38179
antes,CESARIANO,Norte,PA,1,0,37708
antes,CESARIANO,Nordeste,BA,1,0,37582
durante,NORMAL,Nordeste,BA,1,2,37376
durante,NORMAL,Sul,SC,3,0,37295
depois,CESARIANO,Nordeste,BA,1,0,36888
durante,NORMAL,Norte,PA,2,0,36755
antes,NORMAL,Sudeste,MG,3,0,36509
durante,CESARIANO,Nordeste,AL,1,1,36458
durante,NORMAL,Nordeste,PI,3,0,36418
durante,CESARIANO,Sudeste,MG,1,1,35434
durante,NORMAL,Sudeste,MG,5,0,35257
depois,NORMAL,Sul,RS,5,0,34964
durante,NORMAL,Sudeste,MG,2,0,34922
durante,NORMAL,Centro-Oeste,GO,2,2,34503
durante,NORMAL,Sudeste,SP,4,1,34315
depois,NORMAL,Nordeste,CE,1,0,33563
depois,NORMAL,Sudeste,MG,1,0,33516
antes,NORMAL,Nordeste,BA,5,0,33461
depois,CESARIANO,Sudeste,SP,4,0,32898
durante,NORMAL,Sul,PR,3,1,32809
depois,CESARIANO,Sul,RS,3,0,32586
durante,CESARIANO,Sudeste,ES,5,0,32287
antes,NORMAL,Sul,RS,3,0,32246
antes,NORMAL,Nordeste,BA,1,1,32212
depois,CESARIANO,Nordeste,MA,1,0,32116
durante,CESARIANO,Nordeste,PB,3,0,31610
durante,CESARIANO,Sul,PR,3,1,31595
depois,CESARIANO,Sudeste,SP,3,0,30785
durante,NORMAL,Nordeste,PB,1,1,30780
durante,NORMAL,Nordeste,SE,1,1,30719
durante,CESARIANO,Centro-Oeste,GO,5,0,30552
antes,CESARIANO,Sudeste,MG,1,0,29987
durante,CESARIANO,Norte,AM,1,0,29852
antes,CESARIANO,Sudeste,SP,3,0,29768
durante,NORMAL,Centro-Oeste,GO,5,0,29726
antes,NORMAL,Norte,AM,1,0,29593
durante,CESARIANO,Nordeste,BA,3,0,29487
depois,CESARIANO,Nordeste,CE,1,0,29482
durante,CESARIANO,Sudeste,SP,3,1,29444
depois,NORMAL,Norte,AM,1,0,29350
durante,CESARIANO,Nordeste,AL,3,0,29309
antes,NORMAL,Sudeste,SP,3,0,29097
durante,CESARIANO,Nordeste,BA,5,0,28969
depois,NORMAL,Sul,PR,3,0,28865
durante,NORMAL,Nordeste,RN,5,0,28623
depois,NORMAL,Sul,PR,5,0,28574
durante,NORMAL,Sul,SC,4,0,28023
durante,NORMAL,Nordeste,PE,1,2,27432
durante,NORMAL,Sul,PR,5,1,27355
durante,NORMAL,Sudeste,RJ,3,0,27353
durante,NORMAL,Centro-Oeste,MS,3,0,27302
durante,CESARIANO,Nordeste,PI,1,0,27158
durante,NORMAL,Nordeste,AL,3,0,27012
durante,CESARIANO,Nordeste,PB,1,1,26851
depois,NORMAL,Sudeste,RJ,5,1,26486
antes,NORMAL,Sudeste,MG,0,0,26244
durante,CESARIANO,Sudeste,MG,3,1,26197
antes,CESARIANO,Sudeste,RJ,5,0,26056
durante,NORMAL,Sudeste,SP,3,1,25902
depois,NORMAL,Nordeste,BA,1,1,25839
durante,CESARIANO,Nordeste,AL,1,0,25730
depois,NORMAL,Sudeste,MG,3,0,25572
depois,NORMAL,Nordeste,PE,1,0,25497
durante,NORMAL,Norte,RO,3,0,25420
depois,CESARIANO,Sul,PR,3,0,25314
durante,CESARIANO,Sul,SC,5,0,25302
durante,NORMAL,Nordeste,PI,1,1,25193
depois,CESARIANO,Sudeste,MG,1,0,25128
durante,CESARIANO,Nordeste,PE,5,0,24937
depois,NORMAL,Nordeste,PE,5,0,24898
durante,NORMAL,Sudeste,RJ,4,0,24779
depois,CESARIANO,Norte,AM,4,0,24728
antes,CESARIANO,Sul,PR,3,0,24701
durante,NORMAL,Norte,PA,1,1,24671
durante,CESARIANO,Sudeste,RJ,5,1,24388
depois,NORMAL,Nordeste,BA,5,0,24252
depois,NORMAL,Sul,RS,3,0,24252
durante,CESARIANO,Nordeste,RN,1,1,24132
durante,NORMAL,Centro-Oeste,MT,4,0,23936
durante,CESARIANO,Nordeste,PI,1,1,23814
antes,CESARIANO,Nordeste,CE,5,0,23752
durante,NORMAL,Sul,RS,3,1,23546
durante,CESARIANO,Norte,PA,1,1,23489
antes,CESARIANO,Norte,PA,4,0,23466
durante,CESARIANO,Nordeste,BA,1,2,23440
durante,NORMAL,Norte,AC,2,0,23342
durante,NORMAL,Sul,RS,5,1,23128
durante,CESARIANO,Sudeste,MG,2,0,23096
antes,CESARIANO,Sul,RS,3,0,23049
antes,CESARIANO,Sul,RS,5,0,22471
depois,CESARIANO,Sul,RS,5,0,22410
durante,CESARIANO,Nordeste,PI,3,0,22367
durante,NORMAL,Sudeste,MG,0,1,22298
durante,NORMAL,Sul,SC,3,1,22063
antes,CESARIANO,Nordeste,CE,1,0,21834
antes,CESARIANO,Sudeste,MG,3,0,21815
antes,CESARIANO,Nordeste,MA,1,0,21728
durante,NORMAL,Nordeste,RN,1,1,21513
antes,NORMAL,Nordeste,CE,5,0,21475
durante,NORMAL,Nordeste,SE,5,0,21471
depois,CESARIANO,Sudeste,MG,3,0,21177
durante,NORMAL,Sul,RS,4,0,21157
durante,CESARIANO,Norte,PA,2,0,21077
durante,CESARIANO,Sudeste,SP,4,1,21040
durante,NORMAL,Sul,SC,5,1,20859
durante,NORMAL,Norte,RR,2,0,20857
depois,NORMAL,Sudeste,SP,3,0,20782
durante,CESARIANO,Sul,RS,3,1,20767
durante,NORMAL,Sudeste,MG,2,1,20585
antes,NORMAL,Sudeste,SP,5,1,20341
antes,CESARIANO,Sul,PR,5,0,20198
depois,NORMAL,Sudeste,SP,5,1,20183
antes,CESARIANO,Nordeste,PE,1,0,20145
depois,NORMAL,Nordeste,PE,1,1,20140
durante,NORMAL,Centro-Oeste,GO,2,0,19837
durante,CESARIANO,Sul,SC,4,0,19520
durante,CESARIANO,Centro-Oeste,MS,3,0,19423
antes,NORMAL,Norte,PA,4,0,19394
antes,NORMAL,Centro-Oeste,MT,2,0,19383
durante,NORMAL,Nordeste,SE,1,2,19264
depois,CESARIANO,Nordeste,CE,1,1,19043
durante,CESARIANO,Nordeste,CE,1,2,19016
durante,NORMAL,Nordeste,PE,3,0,18959
antes,NORMAL,Nordeste,PE,5,0,18885
antes,NORMAL,Sudeste,RJ,5,1,18841
antes,CESARIANO,Norte,AM,4,0,18661
durante,NORMAL,Nordeste,MA,1,2,18658
durante,CESARIANO,Sudeste,ES,5,1,18533
depois,NORMAL,Sudeste,MG,0,0,18329
antes,NORMAL,Nordeste,AL,1,0,18324
antes,NORMAL,Centro-Oeste,GO,3,0,18075
durante,CESARIANO,Nordeste,PE,5,1,18043
depois,NORMAL,Nordeste,BA,3,0,17994
antes,NORMAL,Nordeste,BA,3,0,17963
durante,CESARIANO,Nordeste,RN,5,0,17761
depois,NORMAL,Centro-Oeste,MT,2,0,17693
depois,NORMAL,Sudeste,MG,1,1,17677
depois,NORMAL,Nordeste,CE,5,0,17662
antes,NORMAL,Nordeste,PB,3,0,17563
antes,NORMAL,Nordeste,CE,1,1,17463
durante,NORMAL,Nordeste,SE,1,0,17463
depois,CESARIANO,Nordeste,BA,1,1,17415
depois,CESARIANO,Nordeste,PE,1,0,17400
antes,NORMAL,Centro-Oeste,MS,4,0,17185
durante,CESARIANO,Sul,PR,5,1,17039
antes,NORMAL,Sudeste,MG,1,1,17023
durante,NORMAL,Nordeste,PB,3,1,16944
durante,NORMAL,Sudeste,ES,5,1,16944
antes,NORMAL,Nordeste,PE,5,1,16934
durante,CESARIANO,Norte,PA,1,2,16919
durante,CESARIANO,Sul,SC,3,1,16889
depois,CESARIANO,Centro-Oeste,GO,3,0,16764
durante,NORMAL,Norte,PA,1,2,16683
antes,NORMAL,Nordeste,PI,1,0,16645
antes,CESARIANO,Nordeste,BA,1,1,16644
durante,CESARIANO,Nordeste,RN,1,0,16631
depois,CESARIANO,Centro-Oeste,MT,2,0,16575
depois,CESARIANO,Sudeste,SP,5,1,16554
antes,NORMAL,Sudeste,MG,3,1,16443
durante,NORMAL,Sudeste,ES,0,0,16440
antes,CESARIANO,Sudeste,MG,0,0,16408
durante,CESARIANO,Centro-Oeste,GO,2,2,16394
depois,CESARIANO,Nordeste,CE,5,0,16046
durante,CESARIANO,Nordeste,PB,1,0,15983
antes,CESARIANO,Sudeste,MG,5,0,15963
antes,CESARIANO,Nordeste,PE,1,1,15913
antes,NORMAL,Sul,SC,5,0,15816
antes,NORMAL,Nordeste,MA,4,0,15764
antes,NORMAL,Sul,SC,3,0,15562
durante,CESARIANO,Sudeste,MG,0,1,15532
durante,NORMAL,Nordeste,BA,2,0,15506
depois,NORMAL,Sudeste,ES,5,0,15413
antes,NORMAL,Norte,PA,2,0,15380
antes,NORMAL,Norte,AP,2,0,15368
depois,CESARIANO,Sul,PR,5,0,15317
durante,NORMAL,Nordeste,MA,2,0,15283
depois,NORMAL,Sul,SC,5,0,15269
durante,NORMAL,Nordeste,RN,1,0,15197
antes,NORMAL,Sudeste,ES,5,0,15020
depois,NORMAL,Centro-Oeste,MS,4,0,14989
antes,NORMAL,Nordeste,PE,1,1,14882
antes,CESARIANO,Sudeste,SP,5,1,14737
depois,NORMAL,Nordeste,AL,1,0,14718
durante,NORMAL,Nordeste,BA,3,1,14713
antes,NORMAL,Sudeste,MG,2,0,14651
antes,CESARIANO,Centro-Oeste,MS,4,0,14648
depois,CESARIANO,Sudeste,MG,0,0,14627
depois,CESARIANO,Norte,PA,4,0,14575
depois,CESARIANO,Centro-Oeste,MS,4,0,14566
depois,NORMAL,Nordeste,MA,1,1,14527
antes,NORMAL,Nordeste,PI,3,0,14407
durante,CESARIANO,Norte,PA,4,1,14364
depois,NORMAL,Sudeste,MG,3,1,14362
durante,CESARIANO,Sudeste,ES,0,0,14333
depois,NORMAL,Nordeste,AL,1,1,14235
durante,CESARIANO,Nordeste,PE,1,2,14178
durante,CESARIANO,Nordeste,CE,2,0,14116
durante,CESARIANO,Sul,RS,4,0,14114
durante,NORMAL,Norte,AC,1,0,14032
depois,NORMAL,Sul,PR,3,1,14012
durante,CESARIANO,Sul,RS,5,1,13994
depois,CESARIANO,Nordeste,PE,1,1,13744
antes,CESARIANO,Nordeste,AL,3,0,13723
depois,NORMAL,Norte,AP,2,0,13630
depois,CESARIANO,Sul,PR,3,1,13586
durante,NORMAL,Sul,SC,4,1,13419
durante,CESARIANO,Norte,RO,2,0,13392
depois,CESARIANO,Nordeste,AL,1,1,13358
depois,NORMAL,Centro-Oeste,GO,3,0,13263
durante,CESARIANO,Nordeste,PI,1,2,13240
depois,NORMAL,Nordeste,CE,1,1,13230
depois,CESARIANO,Norte,AM,1,0,13223
durante,CESARIANO,Nordeste,MA,1,1,13221
depois,NORMAL,Nordeste,PB,3,0,13162
antes,NORMAL,Nordeste,RN,5,0,13135
antes,NORMAL,Nordeste,SE,1,1,13120
durante,CESARIANO,Norte,RO,3,0,13075
depois,CESARIANO,Sudeste,MG,1,1,13026
antes,NORMAL,Nordeste,BA,1,2,13004
depois,NORMAL,Sudeste,SP,4,1,12781
depois,NORMAL,Nordeste,MA,4,0,12757
durante,NORMAL,Centro-Oeste,MT,4,1,12745
antes,CESARIANO,Sul,SC,3,0,12722
durante,NORMAL,Nordeste,PI,1,2,12708
antes,NORMAL,Nordeste,AL,1,1,12690
depois,NORMAL,Sudeste,MG,2,0,12640
durante,NORMAL,Nordeste,PB,1,0,12626
antes,NORMAL,Nordeste,MA,1,1,12615
depois,CESARIANO,Sul,SC,3,0,12615
antes,NORMAL,Nordeste,PB,1,1,12535
durante,CESARIANO,Norte,AP,2,0,12514
depois,CESARIANO,Sudeste,MG,5,0,12455
depois,CESARIANO,Sudeste,RJ,5,1,12433
durante,NORMAL,Sul,PR,4,0,12426
depois,CESARIANO,Sudeste,SP,3,1,12406
durante,NORMAL,Nordeste,CE,1,2,12353
depois,NORMAL,Centro-Oeste,GO,2,2,12333
depois,NORMAL,Nordeste,PE,5,1,12252
durante,NORMAL,Nordeste,PB,1,2,12127
antes,CESARIANO,Nordeste,CE,1,1,11984
depois,NORMAL,Sudeste,MG,5,0,11936
depois,NORMAL,Nordeste,BA,1,2,11921
durante,NORMAL,Sudeste,SP,5,2,11892
durante,CESARIANO,Centro-Oeste,GO,2,0,11841
antes,CESARIANO,Nordeste,PB,3,0,11823
depois,NORMAL,Sul,SC,3,0,11797
durante,NORMAL,Sul,RS,3,2,11779
durante,CESARIANO,Nordeste,PB,1,2,11776
depois,CESARIANO,Sudeste,ES,5,0,11653
durante,NORMAL,Norte,TO,4,0,11578
antes,NORMAL,Sudeste,MG,5,0,11475
durante,CESARIANO,Nordeste,PB,3,1,11473
durante,NORMAL,Sudeste,SP,2,1,11382
depois,NORMAL,Norte,PA,2,0,11354
depois,CESARIANO,Sul,RS,3,1,11333
durante,NORMAL,Nordeste,RN,1,2,11325
antes,CESARIANO,Nordeste,AL,1,1,11259
depois,NORMAL,Nordeste,PI,3,0,11163
durante,CESARIANO,Nordeste,MA,4,0,11149
durante,NORMAL,Nordeste,CE,3,0,11038
antes,NORMAL,Centro-Oeste,MS,3,0,10978
depois,NORMAL,Nordeste,AL,3,0,10972
depois,CESARIANO,Nordeste,PB,1,1,10946
durante,CESARIANO,Centro-Oeste,MT,4,0,10881
durante,CESARIANO,Nordeste,BA,2,0,10822
durante,CESARIANO,Sudeste,ES,3,0,10773
antes,CESARIANO,Sudeste,MG,1,1,10738
depois,NORMAL,Nordeste,PB,1,1,10716
antes,CESARIANO,Nordeste,BA,3,0,10710
depois,NORMAL,Norte,PA,4,0,10692
durante,CESARIANO,Nordeste,AL,1,2,10643
antes,CESARIANO,Centro-Oeste,GO,3,0,10609
antes,NORMAL,Centro-Oeste,GO,5,0,10608
antes,NORMAL,Sudeste,RJ,3,0,10587
antes,NORMAL,Sudeste,SP,4,1,10451
antes,CESARIANO,Centro-Oeste,MT,2,0,10424
durante,CESARIANO,Nordeste,RN,3,0,10377
durante,CESARIANO,Nordeste,CE,3,0,10332
durante,NORMAL,Nordeste,SE,5,1,10252
depois,NORMAL,Nordeste,PI,1,0,10201
antes,CESARIANO,Sudeste,ES,5,0,10155
depois,CESARIANO,Nordeste,MA,1,1,10109
durante,CESARIANO,Sul,SC,5,1,10090
durante,CESARIANO,Sul,RS,3,2,10078
antes,NORMAL,Nordeste,PI,1,1,10071
antes,NORMAL,Nordeste,PE,1,2,9991
depois,NORMAL,Sudeste,SP,3,1,9984
antes,CESARIANO,Centro-Oeste,GO,5,0,9971
antes,CESARIANO,Nordeste,PI,1,0,9865
durante,CESARIANO,Nordeste,SE,1,1,9838
depois,NORMAL,Centro-Oeste,GO,5,0,9822
durante,CESARIANO,Sudeste,MG,2,1,9800
depois,NORMAL,Nordeste,PE,1,2,9747
depois,CESARIANO,Nordeste,RN,1,1,9741
depois,NORMAL,Nordeste,RN,5,0,9722
depois,CESARIANO,Nordeste,BA,3,0,9705
antes,NORMAL,Norte,PA,1,1,9685
depois,NORMAL,Sul,RS,3,1,9666
depois,CESARIANO,Nordeste,PI,1,1,9532
antes,CESARIANO,Sudeste,MG,2,0,9516
depois,CESARIANO,Nordeste,PI,1,0,9389
antes,CESARIANO,Nordeste,BA,5,0,9353
antes,NORMAL,Norte,RO,3,0,9343
depois,CESARIANO,Norte,PA,2,0,9305
durante,NORMAL,Sudeste,MG,4,0,9278
antes,CESARIANO,Norte,AM,1,0,9268
durante,NORMAL,Sudeste,SP,2,0,9268
antes,CESARIANO,Sul,SC,5,0,9232
depois,CESARIANO,Sudeste,RJ,3,0,9218
antes,NORMAL,Sudeste,RJ,4,0,9181
antes,NORMAL,Nordeste,SE,5,0,9175
durante,NORMAL,Norte,TO,2,0,9140
depois,NORMAL,Sul,SC,4,0,9116
depois,CESARIANO,Nordeste,PB,3,0,9103
durante,CESARIANO,Sudeste,MG,4,0,9052
depois,NORMAL,Sul,PR,5,1,9029
durante,NORMAL,Centro-Oeste,MT,1,0,9002
depois,CESARIANO,Nordeste,BA,5,0,8999
antes,CESARIANO,Nordeste,AL,1,0,8988
durante,CESARIANO,Norte,TO,2,0,8978
durante,NORMAL,Nordeste,CE,2,0,8969
durante,NORMAL,Norte,RO,2,0,8911
antes,NORMAL,Nordeste,RN,1,0,8894
antes,CESARIANO,Nordeste,PE,5,1,8890
durante,NORMAL,Sudeste,MG,5,1,8876
depois,CESARIANO,Nordeste,AL,1,0,8851
durante,NORMAL,Norte,PA,4,1,8817
durante,NORMAL,Norte,TO,3,0,8817
depois,CESARIANO,Sudeste,MG,2,0,8806
antes,NORMAL,Sul,SC,4,0,8803
depois,NORMAL,Centro-Oeste,MS,3,0,8778
antes,CESARIANO,Nordeste,PE,5,0,8744
durante,NORMAL,Nordeste,MA,4,1,8741
antes,NORMAL,Centro-Oeste,GO,2,2,8724
depois,CESARIANO,Centro-Oeste,GO,5,0,8723
depois,CESARIANO,Sudeste,RJ,4,0,8664
depois,CESARIANO,Nordeste,AL,3,0,8645
depois,NORMAL,Centro-Oeste,MT,4,0,8574
depois,NORMAL,Sudeste,RJ,3,0,8573
depois,CESARIANO,Nordeste,PE,5,0,8551
durante,CESARIANO,Nordeste,BA,3,1,8543
durante,CESARIANO,Nordeste,AL,3,1,8510
antes,CESARIANO,Nordeste,PI,3,0,8508
antes,NORMAL,Sul,PR,3,1,8398
antes,CESARIANO,Nordeste,PB,1,1,8367
depois,NORMAL,Sul,SC,3,1,8326
durante,NORMAL,Centro-Oeste,MT,2,1,8300
durante,CESARIANO,Nordeste,MA,1,2,8293
antes,NORMAL,Centro-Oeste,MT,4,0,8285
antes,NORMAL,Norte,AC,2,0,8266
depois,NORMAL,Nordeste,SE,1,2,8250
antes,NORMAL,Sudeste,MG,2,1,8242
durante,NORMAL,Sudeste,ES,3,0,8228
durante,CESARIANO,Nordeste,RN,1,2,8190
depois,NORMAL,Nordeste,PI,1,1,8130
durante,CESARIANO,Sul,SC,4,1,8125
durante,CESARIANO,Sudeste,RJ,4,0,8111
antes,CESARIANO,Sudeste,MG,3,1,8077
antes,NORMAL,Sudeste,MG,0,1,8055
durante,CESARIANO,Sudeste,RJ,3,0,8028
durante,NORMAL,Sudeste,SP,4,2,7995
antes,NORMAL,Sul,PR,5,1,7979
depois,NORMAL,Norte,PA,1,1,7950
depois,CESARIANO,Nordeste,BA,1,2,7945
antes,NORMAL,Sul,RS,5,1,7928
depois,CESARIANO,Sudeste,MG,3,1,7921
depois,NORMAL,Nordeste,SE,1,1,7909
antes,CESARIANO,Nordeste,PI,1,1,7898
antes,NORMAL,Nordeste,AL,3,0,7866
depois,CESARIANO,Nordeste,MA,4,0,7814
depois,NORMAL,Nordeste,RN,1,1,7798
durante,NORMAL,Nordeste,BA,5,1,7729
antes,NORMAL,Centro-Oeste,GO,2,0,7706
depois,NORMAL,Sudeste,RJ,4,0,7703
durante,CESARIANO,Sul,PR,4,0,7677
durante,CESARIANO,Norte,TO,4,0,7649
antes,NORMAL,Sul,RS,4,0,7645
antes,CESARIANO,Norte,PA,1,1,7629
antes,NORMAL,Nordeste,PB,1,0,7609
antes,CESARIANO,Nordeste,PE,1,2,7600
