momento,parto,regiao,uf,grupo,criticidade,records
durante,NORMAL,Nordeste,PI,3,1,7553
durante,CESARIANO,Norte,AC,2,0,7545
antes,CESARIANO,Nordeste,BA,1,2,7521
antes,NORMAL,Nordeste,SE,1,2,7470
durante,NORMAL,Nordeste,AL,1,2,7345
antes,NORMAL,Nordeste,RN,1,1,7334
antes,NORMAL,Sudeste,SP,3,1,7310
durante,CESARIANO,Sudeste,SP,2,0,7249
durante,CESARIANO,Nordeste,SE,5,0,7084
durante,CESARIANO,Centro-Oeste,MT,1,0,7076
antes,CESARIANO,Sudeste,SP,3,1,7066
durante,CESARIANO,Sudeste,MG,5,1,7062
durante,CESARIANO,Norte,TO,3,0,7030
antes,NORMAL,Sudeste,ES,5,1,7019
depois,NORMAL,Sudeste,MG,0,1,7017
durante,CESARIANO,Nordeste,SE,1,0,7016
durante,CESARIANO,Nordeste,SE,1,2,7003
durante,NORMAL,Nordeste,AL,3,1,7002
durante,NORMAL,Norte,AP,2,1,6991
antes,CESARIANO,Nordeste,RN,5,0,6943
durante,NORMAL,Sul,PR,2,0,6936
antes,NORMAL,Nordeste,PE,3,0,6931
depois,CESARIANO,Centro-Oeste,MS,3,0,6923
depois,NORMAL,Nordeste,MA,1,2,6890
antes,NORMAL,Sudeste,ES,0,0,6882
depois,NORMAL,Norte,RO,3,0,6852
depois,CESARIANO,Sul,SC,5,0,6833
durante,NORMAL,Centro-Oeste,GO,3,1,6828
depois,CESARIANO,Norte,PA,1,1,6758
depois,NORMAL,Sul,SC,5,1,6719
antes,CESARIANO,Sudeste,SP,4,1,6718
antes,NORMAL,Sul,RS,3,1,6717
antes,CESARIANO,Sudeste,RJ,5,1,6707
depois,CESARIANO,Nordeste,RN,5,0,6692
durante,CESARIANO,Norte,AC,1,0,6659
durante,NORMAL,Centro-Oeste,GO,3,2,6639
depois,NORMAL,Nordeste,SE,5,0,6631
antes,CESARIANO,Sudeste,ES,5,1,6587
antes,NORMAL,Nordeste,PB,3,1,6563
durante,CESARIANO,Centro-Oeste,MT,2,1,6476
antes,CESARIANO,Nordeste,RN,1,0,6362
antes,NORMAL,Sul,SC,5,1,6341
depois,CESARIANO,Sudeste,SP,4,1,6336
antes,CESARIANO,Centro-Oeste,MS,3,0,6320
antes,CESARIANO,Sul,SC,4,0,6301
antes,NORMAL,Nordeste,MA,2,0,6279
depois,CESARIANO,Nordeste,PI,3,0,6271
depois,CESARIANO,Centro-Oeste,GO,2,2,6265
depois,CESARIANO,Nordeste,PB,1,0,6260
antes,NORMAL,Norte,RR,2,0,6209
antes,CESARIANO,Nordeste,RN,1,1,6191
depois,NORMAL,Centro-Oeste,GO,2,0,6181
depois,CESARIANO,Norte,AP,2,0,6180
depois,CESARIANO,Sul,PR,5,1,6175
durante,NORMAL,Norte,RR,2,1,6174
durante,CESARIANO,Sudeste,SP,5,2,6160
depois,NORMAL,Norte,RR,2,0,6155
depois,CESARIANO,Centro-Oeste,GO,2,0,6146
antes,NORMAL,Nordeste,MA,1,2,6142
durante,CESARIANO,Centro-Oeste,GO,3,2,6134
depois,NORMAL,Sul,RS,5,1,6105
depois,NORMAL,Sul,RS,4,0,6099
antes,CESARIANO,Nordeste,PB,1,0,6092
durante,NORMAL,Norte,TO,2,2,6022
depois,CESARIANO,Norte,PA,1,2,6013
antes,NORMAL,Nordeste,BA,3,1,5983
antes,CESARIANO,Sul,PR,3,1,5916
durante,NORMAL,Norte,TO,1,1,5868
antes,NORMAL,Nordeste,SE,1,0,5854
antes,NORMAL,Sul,SC,3,1,5758
depois,CESARIANO,Sul,SC,3,1,5751
depois,NORMAL,Norte,PA,1,2,5689
depois,CESARIANO,Sul,SC,4,0,5675
durante,NORMAL,Norte,TO,2,1,5621
antes,CESARIANO,Nordeste,AL,1,2,5610
depois,CESARIANO,Sudeste,MG,0,1,5562
antes,NORMAL,Nordeste,BA,2,0,5552
durante,CESARIANO,Centro-Oeste,MT,4,1,5449
depois,NORMAL,Sul,SC,4,1,5444
depois,NORMAL,Sudeste,MG,2,1,5435
depois,NORMAL,Nordeste,MA,2,0,5427
antes,NORMAL,Norte,AC,1,0,5425
antes,NORMAL,Nordeste,RN,1,2,5391
antes,CESARIANO,Norte,PA,2,0,5379
durante,NORMAL,Sudeste,ES,0,1,5355
depois,CESARIANO,Nordeste,MA,1,2,5315
antes,NORMAL,Nordeste,PB,1,2,5312
durante,NORMAL,Sudeste,RJ,3,1,5289
durante,NORMAL,Norte,RO,1,0,5271
depois,NORMAL,Nordeste,PE,3,0,5230
depois,CESARIANO,Sul,RS,4,0,5182
depois,CESARIANO,Nordeste,CE,1,2,5132
depois,CESARIANO,Nordeste,PE,1,2,5096
antes,CESARIANO,Sudeste,ES,0,0,5068
durante,CESARIANO,Centro-Oeste,MS,2,0,5037
durante,CESARIANO,Centro-Oeste,GO,3,1,5027
antes,CESARIANO,Sul,RS,5,1,5012
durante,NORMAL,Nordeste,MA,2,1,4992
depois,CESARIANO,Nordeste,PI,1,2,4949
antes,NORMAL,Sul,RS,3,2,4922
durante,CESARIANO,Nordeste,PI,3,1,4905
durante,CESARIANO,Nordeste,CE,2,1,4887
durante,CESARIANO,Norte,TO,2,1,4874
durante,NORMAL,Nordeste,RN,3,0,4869
antes,NORMAL,Nordeste,CE,2,0,4852
durante,CESARIANO,Sudeste,ES,3,1,4850
depois,NORMAL,Nordeste,BA,2,0,4845
antes,NORMAL,Nordeste,CE,3,0,4816
durante,NORMAL,Nordeste,BA,2,1,4810
depois,NORMAL,Sudeste,ES,5,1,4794
antes,CESARIANO,Centro-Oeste,MT,4,0,4783
durante,NORMAL,Sudeste,MG,3,2,4774
durante,CESARIANO,Norte,TO,2,2,4767
depois,CESARIANO,Norte,RO,2,0,4766
depois,CESARIANO,Nordeste,RN,1,0,4721
depois,NORMAL,Nordeste,PB,1,0,4717
durante,CESARIANO,Norte,RO,1,0,4715
antes,CESARIANO,Nordeste,CE,2,0,4667
antes,NORMAL,Sul,PR,4,0,4660
durante,CESARIANO,Nordeste,RN,3,1,4656
depois,CESARIANO,Nordeste,CE,2,0,4649
antes,CESARIANO,Nordeste,PB,1,2,4642
depois,NORMAL,Nordeste,PB,3,1,4626
depois,NORMAL,Sudeste,ES,0,0,4614
durante,NORMAL,Sul,PR,2,1,4543
antes,NORMAL,Norte,TO,2,0,4541
depois,NORMAL,Nordeste,SE,1,0,4525
depois,CESARIANO,Sudeste,ES,0,0,4519
antes,CESARIANO,Nordeste,PB,3,1,4423
antes,NORMAL,Norte,TO,4,0,4416
depois,CESARIANO,Sudeste,ES,5,1,4413
antes,CESARIANO,Sudeste,MG,0,1,4406
durante,NORMAL,Sul,SC,0,0,4402
antes,NORMAL,Nordeste,PI,1,2,4373
antes,CESARIANO,Sul,RS,4,0,4322
depois,CESARIANO,Norte,PA,4,1,4310
depois,NORMAL,Sudeste,SP,5,2,4299
durante,CESARIANO,Centro-Oeste,GO,5,1,4295
antes,NORMAL,Sudeste,SP,2,1,4284
antes,NORMAL,Nordeste,AL,1,2,4257
durante,NORMAL,Nordeste,RN,5,1,4195
antes,CESARIANO,Sul,SC,3,1,4177
depois,NORMAL,Sudeste,SP,2,1,4176
antes,CESARIANO,Norte,PA,4,1,4173
antes,NORMAL,Sudeste,MG,4,0,4173
antes,CESARIANO,Norte,PA,1,2,4169
antes,NORMAL,Norte,PA,1,2,4163
antes,CESARIANO,Sudeste,MG,2,1,4155
durante,NORMAL,Sudeste,ES,3,1,4150
durante,CESARIANO,Sul,PR,2,0,4141
depois,NORMAL,Nordeste,RN,1,2,4140
antes,CESARIANO,Nordeste,PI,1,2,4125
durante,CESARIANO,Nordeste,CE,5,1,4119
depois,CESARIANO,Nordeste,PE,5,1,4084
durante,NORMAL,Sul,RS,4,1,4074
durante,CESARIANO,Nordeste,BA,2,1,4067
depois,NORMAL,Centro-Oeste,MT,4,1,4045
antes,CESARIANO,Sul,RS,3,1,4019
antes,NORMAL,Centro-Oeste,MT,1,0,4016
antes,CESARIANO,Sul,PR,5,1,3994
depois,CESARIANO,Nordeste,BA,2,0,3991
depois,CESARIANO,Norte,RO,3,0,3986
depois,NORMAL,Sul,PR,4,0,3984
antes,CESARIANO,Norte,AP,2,0,3980
antes,NORMAL,Sudeste,SP,2,0,3979
durante,NORMAL,Centro-Oeste,MS,2,0,3939
durante,CESARIANO,Sudeste,MG,3,2,3895
depois,NORMAL,Norte,AC,1,0,3890
antes,NORMAL,Sul,PR,2,0,3851
antes,CESARIANO,Nordeste,BA,3,1,3837
antes,NORMAL,Centro-Oeste,MT,4,1,3832
durante,CESARIANO,Sudeste,ES,0,1,3806
depois,NORMAL,Nordeste,RN,1,0,3794
antes,CESARIANO,Nordeste,RN,1,2,3790
durante,NORMAL,Norte,TO,1,0,3783
depois,NORMAL,Nordeste,PI,1,2,3781
antes,CESARIANO,Sul,RS,3,2,3780
depois,CESARIANO,Sudeste,ES,3,0,3712
depois,CESARIANO,Sul,RS,5,1,3712
durante,CESARIANO,Sudeste,SP,2,1,3678
durante,NORMAL,Norte,AC,1,1,3677
antes,NORMAL,Sudeste,SP,5,2,3649
antes,CESARIANO,Nordeste,CE,1,2,3641
antes,CESARIANO,Nordeste,SE,1,1,3639
antes,CESARIANO,Nordeste,MA,1,1,3636
antes,NORMAL,Norte,TO,3,0,3629
durante,NORMAL,Nordeste,CE,2,1,3602
antes,NORMAL,Nordeste,SE,5,1,3579
depois,CESARIANO,Nordeste,PB,1,2,3542
antes,NORMAL,Norte,RO,2,0,3541
durante,NORMAL,Norte,TO,3,1,3541
durante,CESARIANO,Norte,RO,2,1,3524
durante,NORMAL,Sudeste,MG,4,1,3484
antes,CESARIANO,Nordeste,MA,4,0,3482
depois,NORMAL,Sul,RS,3,2,3477
antes,CESARIANO,Centro-Oeste,GO,2,2,3446
depois,NORMAL,Norte,AC,2,0,3435
depois,CESARIANO,Centro-Oeste,MT,1,0,3433
antes,CESARIANO,Norte,RO,2,0,3426
antes,CESARIANO,Sul,SC,5,1,3418
durante,CESARIANO,Sudeste,SP,4,2,3401
depois,CESARIANO,Nordeste,RN,1,2,3372
antes,CESARIANO,Nordeste,CE,3,0,3370
depois,NORMAL,Nordeste,MA,4,1,3364
durante,NORMAL,Centro-Oeste,GO,5,1,3358
durante,NORMAL,Nordeste,PE,3,2,3355
durante,CESARIANO,Sul,PR,1,0,3345
durante,NORMAL,Nordeste,PI,3,2,3345
durante,CESARIANO,Centro-Oeste,GO,4,0,3331
depois,NORMAL,Norte,RO,2,0,3319
depois,CESARIANO,Nordeste,SE,1,1,3296
durante,NORMAL,Norte,TO,1,2,3286
antes,CESARIANO,Sudeste,ES,3,0,3280
durante,CESARIANO,Sul,RS,4,1,3269
depois,NORMAL,Sudeste,SP,2,0,3264
durante,CESARIANO,Sul,PR,3,2,3256
durante,CESARIANO,Sudeste,MG,4,1,3247
antes,CESARIANO,Nordeste,AL,3,1,3245
antes,NORMAL,Sul,SC,4,1,3234
depois,CESARIANO,Centro-Oeste,MT,4,0,3224
depois,NORMAL,Sudeste,MG,5,1,3196
antes,CESARIANO,Norte,AC,2,0,3192
depois,NORMAL,Nordeste,PB,1,2,3183
antes,NORMAL,Sudeste,ES,3,0,3171
depois,NORMAL,Nordeste,CE,1,2,3153
depois,NORMAL,Norte,TO,4,0,3153
depois,CESARIANO,Nordeste,CE,3,0,3149
depois,CESARIANO,Nordeste,SE,1,2,3121
depois,CESARIANO,Norte,RO,1,0,3093
antes,CESARIANO,Sudeste,MG,4,0,3090
durante,CESARIANO,Centro-Oeste,MS,4,1,3085
depois,NORMAL,Nordeste,SE,5,1,3080
depois,CESARIANO,Nordeste,PB,3,1,3078
depois,NORMAL,Centro-Oeste,MT,2,1,3062
antes,CESARIANO,Norte,TO,2,0,3057
depois,NORMAL,Sudeste,SP,4,2,3056
depois,CESARIANO,Sul,RS,3,2,3036
antes,CESARIANO,Nordeste,MA,1,2,3034
durante,CESARIANO,Nordeste,SE,5,1,3017
depois,CESARIANO,Sudeste,MG,4,0,3013
depois,CESARIANO,Sul,SC,4,1,3011
depois,NORMAL,Nordeste,CE,3,0,3007
depois,CESARIANO,Norte,AC,2,0,2988
depois,CESARIANO,Centro-Oeste,MT,2,1,2983
durante,NORMAL,Sudeste,MG,1,2,2971
antes,CESARIANO,Norte,RO,3,0,2959
antes,CESARIANO,Centro-Oeste,GO,2,0,2931
depois,CESARIANO,Nordeste,RN,3,0,2923
antes,NORMAL,Norte,TO,1,1,2920
durante,NORMAL,Centro-Oeste,MS,4,1,2909
depois,NORMAL,Nordeste,BA,3,1,2904
durante,CESARIANO,Nordeste,PI,3,2,2895
antes,CESARIANO,Sudeste,RJ,4,0,2890
depois,CESARIANO,Nordeste,CE,5,1,2883
durante,CESARIANO,Nordeste,BA,5,1,2871
depois,CESARIANO,Sudeste,MG,2,1,2849
durante,NORMAL,Centro-Oeste,GO,1,0,2848
durante,CESARIANO,Norte,TO,1,1,2847
depois,NORMAL,Sudeste,ES,3,0,2836
antes,NORMAL,Nordeste,CE,1,2,2827
antes,NORMAL,Sudeste,MG,5,1,2806
durante,CESARIANO,Sul,SC,3,2,2806
depois,NORMAL,Nordeste,AL,3,1,2792
durante,NORMAL,Norte,AM,1,2,2789
antes,NORMAL,Norte,PA,4,1,2766
durante,NORMAL,Nordeste,RN,3,1,2764
antes,NORMAL,Nordeste,BA,5,1,2743
durante,CESARIANO,Nordeste,MA,4,1,2743
depois,NORMAL,Sudeste,MG,4,0,2725
depois,CESARIANO,Norte,TO,2,0,2717
durante,NORMAL,Sudeste,MG,0,2,2698
durante,NORMAL,Norte,PA,2,1,2681
durante,CESARIANO,Sudeste,MG,1,2,2678
antes,CESARIANO,Nordeste,RN,3,0,2665
depois,CESARIANO,Sudeste,SP,2,0,2663
antes,CESARIANO,Nordeste,SE,5,0,2653
durante,NORMAL,Sudeste,RJ,4,1,2648
depois,CESARIANO,Sul,SC,5,1,2645
durante,NORMAL,Norte,AC,2,1,2634
antes,CESARIANO,Sudeste,SP,2,0,2625
depois,CESARIANO,Sul,PR,4,0,2624
durante,NORMAL,Nordeste,BA,3,2,2621
durante,CESARIANO,Sul,PR,2,1,2617
antes,CESARIANO,Nordeste,BA,2,0,2616
durante,NORMAL,Centro-Oeste,MT,2,2,2604
depois,CESARIANO,Sudeste,MG,5,1,2586
durante,CESARIANO,Norte,AC,1,1,2585
antes,NORMAL,Norte,RO,1,0,2578
durante,NORMAL,Sul,PR,3,2,2578
depois,CESARIANO,Nordeste,SE,1,0,2574
antes,CESARIANO,Norte,TO,4,0,2546
durante,NORMAL,Centro-Oeste,GO,4,0,2545
antes,CESARIANO,Sudeste,RJ,3,0,2529
antes,NORMAL,Nordeste,PI,3,1,2520
antes,CESARIANO,Sul,PR,4,0,2514
depois,CESARIANO,Norte,AC,1,0,2513
depois,NORMAL,Centro-Oeste,MT,1,0,2472
durante,CESARIANO,Sudeste,RJ,3,1,2421
antes,NORMAL,Norte,TO,2,1,2415
depois,NORMAL,Norte,TO,3,0,2410
depois,NORMAL,Norte,AP,2,1,2408
depois,NORMAL,Centro-Oeste,GO,3,1,2392
depois,NORMAL,Centro-Oeste,GO,3,2,2386
depois,CESARIANO,Norte,TO,3,0,2377
depois,CESARIANO,Centro-Oeste,GO,3,1,2373
durante,CESARIANO,Norte,AP,2,1,2372
antes,CESARIANO,Centro-Oeste,MT,4,1,2344
antes,CESARIANO,Sul,SC,4,1,2334
antes,NORMAL,Nordeste,RN,3,0,2328
durante,NORMAL,Sul,SC,3,2,2328
depois,CESARIANO,Nordeste,AL,3,1,2326
antes,NORMAL,Centro-Oeste,GO,3,2,2325
antes,CESARIANO,Nordeste,SE,1,2,2302
durante,CESARIANO,Nordeste,RN,5,1,2300
depois,NORMAL,Norte,TO,2,2,2295
antes,NORMAL,Nordeste,MA,4,1,2284
durante,NORMAL,Norte,RO,2,1,2276
antes,NORMAL,Centro-Oeste,MT,2,1,2272
antes,NORMAL,Sudeste,SP,4,2,2224
depois,CESARIANO,Sudeste,ES,3,1,2224
antes,CESARIANO,Sudeste,MG,5,1,2210
durante,NORMAL,Sudeste,MG,2,2,2207
durante,NORMAL,Norte,AP,1,0,2202
antes,CESARIANO,Centro-Oeste,GO,3,2,2201
depois,CESARIANO,Nordeste,CE,2,1,2201
durante,CESARIANO,Nordeste,PE,3,2,2198
depois,CESARIANO,Nordeste,AL,1,2,2191
durante,CESARIANO,Centro-Oeste,MT,2,2,2181
antes,NORMAL,Norte,TO,1,0,2178
depois,NORMAL,Norte,RO,1,0,2172
depois,NORMAL,Norte,PA,4,1,2171
antes,NORMAL,Nordeste,MA,2,1,2160
depois,CESARIANO,Nordeste,SE,5,0,2148
depois,NORMAL,Norte,TO,2,0,2148
durante,NORMAL,Norte,RR,1,1,2138
durante,NORMAL,Sul,SC,0,1,2128
antes,NORMAL,Centro-Oeste,GO,3,1,2123
depois,CESARIANO,Nordeste,MA,4,1,2122
depois,CESARIANO,Centro-Oeste,GO,4,0,2108
antes,CESARIANO,Norte,TO,3,0,2105
durante,CESARIANO,Nordeste,PE,5,2,2104
durante,NORMAL,Nordeste,PE,5,2,2092
depois,NORMAL,Sudeste,RJ,4,1,2081
durante,NORMAL,Nordeste,CE,5,1,2066
antes,CESARIANO,Sudeste,SP,5,2,2056
depois,CESARIANO,Norte,TO,4,0,2035
depois,CESARIANO,Nordeste,BA,3,1,2011
durante,NORMAL,Nordeste,CE,3,1,2009
antes,NORMAL,Nordeste,AL,3,1,2004
antes,NORMAL,Nordeste,BA,2,1,1970
antes,CESARIANO,Centro-Oeste,MT,1,0,1965
depois,CESARIANO,Sudeste,SP,5,2,1950
depois,NORMAL,Nordeste,BA,5,1,1947
durante,CESARIANO,Nordeste,BA,3,2,1945
antes,CESARIANO,Norte,AC,1,0,1934
durante,CESARIANO,Norte,TO,3,1,1925
durante,CESARIANO,Sul,SC,0,0,1905
depois,NORMAL,Norte,RR,2,1,1899
durante,CESARIANO,Norte,RO,1,1,1895
durante,CESARIANO,Nordeste,CE,2,2,1887
depois,NORMAL,Sudeste,ES,0,1,1884
depois,CESARIANO,Norte,TO,2,2,1880
depois,CESARIANO,Centro-Oeste,MS,2,0,1862
depois,NORMAL,Centro-Oeste,GO,5,1,1851
durante,CESARIANO,Norte,TO,1,0,1851
antes,CESARIANO,Nordeste,SE,1,0,1850
durante,NORMAL,Centro-Oeste,GO,2,1,1850
durante,NORMAL,Sudeste,SP,3,2,1844
durante,NORMAL,Sul,PR,1,0,1841
depois,CESARIANO,Sudeste,RJ,4,1,1823
durante,CESARIANO,Nordeste,MA,2,0,1817
durante,CESARIANO,Norte,PA,2,1,1813
antes,NORMAL,Sudeste,ES,0,1,1808
durante,CESARIANO,Centro-Oeste,GO,5,2,1805
depois,CESARIANO,Sudeste,RJ,3,1,1804
antes,NORMAL,Norte,AP,2,1,1803
depois,NORMAL,Sul,PR,2,1,1799
depois,NORMAL,Sudeste,ES,3,1,1789
depois,NORMAL,Nordeste,MA,2,1,1783
antes,NORMAL,Centro-Oeste,MS,2,0,1777
antes,NORMAL,Norte,TO,2,2,1774
durante,NORMAL,Norte,AM,1,1,1774
depois,NORMAL,Sudeste,RJ,3,1,1770
depois,CESARIANO,Centro-Oeste,GO,3,2,1769
durante,NORMAL,Centro-Oeste,MS,3,1,1769
durante,CESARIANO,Norte,TO,1,2,1765
durante,CESARIANO,Centro-Oeste,MS,4,2,1764
depois,NORMAL,Nordeste,PE,3,2,1762
antes,CESARIANO,Nordeste,PE,5,2,1756
durante,CESARIANO,Sudeste,MG,0,2,1734
durante,NORMAL,Norte,RO,3,1,1730
durante,NORMAL,Centro-Oeste,MT,1,1,1706
durante,NORMAL,Norte,RO,1,1,1686
antes,NORMAL,Sudeste,RJ,3,1,1685
durante,NORMAL,Norte,TO,4,1,1674
durante,NORMAL,Norte,TO,3,2,1664
antes,NORMAL,Norte,RR,2,1,1651
depois,CESARIANO,Nordeste,RN,3,1,1645
depois,NORMAL,Nordeste,AL,1,2,1615
durante,CESARIANO,Nordeste,PE,3,0,1598
durante,NORMAL,Nordeste,PE,3,1,1592
antes,NORMAL,Sudeste,MG,3,2,1586
depois,CESARIANO,Norte,TO,2,1,1579
durante,NORMAL,Centro-Oeste,MS,4,2,1573
durante,NORMAL,Norte,TO,4,2,1570
depois,NORMAL,Nordeste,PI,3,1,1561
depois,NORMAL,Norte,TO,1,2,1551
antes,CESARIANO,Nordeste,PI,3,1,1544
antes,NORMAL,Sudeste,ES,3,1,1543
durante,CESARIANO,Norte,AM,1,2,1543
antes,NORMAL,Centro-Oeste,GO,1,0,1534
antes,NORMAL,Nordeste,RN,5,1,1524
durante,CESARIANO,Sul,PR,1,1,1523
durante,NORMAL,Sudeste,RJ,5,2,1522
antes,NORMAL,Nordeste,CE,2,1,1519
depois,NORMAL,Sudeste,MG,3,2,1516
depois,CESARIANO,Sudeste,SP,2,1,1514
depois,CESARIANO,Centro-Oeste,MT,4,1,1512
depois,NORMAL,Norte,TO,2,1,1499
depois,CESARIANO,Centro-Oeste,GO,5,1,1495
durante,CESARIANO,Nordeste,CE,5,2,1494
depois,NORMAL,Sul,PR,2,0,1492
antes,NORMAL,Norte,TO,3,1,1467
depois,NORMAL,Nordeste,BA,2,1,1462
durante,CESARIANO,Centro-Oeste,MT,1,1,1457
durante,CESARIANO,Sudeste,SP,3,2,1453
depois,CESARIANO,Nordeste,BA,2,1,1447
durante,NORMAL,Sul,PR,4,1,1436
antes,CESARIANO,Sudeste,ES,3,1,1423
antes,CESARIANO,Norte,TO,2,1,1398
antes,CESARIANO,Sudeste,SP,2,1,1398
depois,CESARIANO,Nordeste,PE,3,2,1396
antes,CESARIANO,Sul,PR,2,0,1387
antes,CESARIANO,Nordeste,BA,2,1,1383
antes,CESARIANO,Centro-Oeste,MS,2,0,1380
durante,CESARIANO,Centro-Oeste,MS,3,1,1379
antes,CESARIANO,Sudeste,ES,0,1,1363
durante,CESARIANO,Sul,PR,4,1,1360
durante,CESARIANO,Nordeste,CE,3,1,1358
depois,NORMAL,Norte,PA,2,1,1357
antes,NORMAL,Sul,SC,0,0,1353
antes,CESARIANO,Norte,TO,1,1,1344
antes,CESARIANO,Norte,RO,1,0,1340
antes,NORMAL,Sul,RS,4,1,1324
antes,CESARIANO,Centro-Oeste,MT,2,1,1313
antes,NORMAL,Nordeste,PI,3,2,1313
depois,CESARIANO,Centro-Oeste,MS,4,1,1309
depois,NORMAL,Nordeste,RN,5,1,1301
durante,CESARIANO,Sul,RS,5,2,1301
depois,NORMAL,Nordeste,CE,2,0,1295
durante,NORMAL,Centro-Oeste,GO,5,2,1292
durante,NORMAL,Nordeste,BA,5,2,1279
durante,NORMAL,Norte,AM,4,1,1278
depois,CESARIANO,Norte,RO,2,1,1277
depois,CESARIANO,Sudeste,MG,3,2,1277
depois,NORMAL,Norte,TO,1,1,1268
depois,CESARIANO,Sudeste,ES,0,1,1266
durante,CESARIANO,Sul,SC,5,2,1262
antes,CESARIANO,Nordeste,CE,2,1,1256
depois,NORMAL,Centro-Oeste,MS,4,1,1250
depois,CESARIANO,Nordeste,PI,3,1,1245
durante,NORMAL,Sul,RS,5,2,1244
durante,NORMAL,Sul,SC,4,2,1242
antes,NORMAL,Norte,PA,2,1,1241
depois,NORMAL,Nordeste,RN,3,0,1233
depois,CESARIANO,Sudeste,RJ,5,2,1231
durante,CESARIANO,Sudeste,MG,2,2,1231
depois,NORMAL,Norte,AC,1,1,1230
depois,NORMAL,Centro-Oeste,GO,4,0,1225
depois,NORMAL,Sul,RS,4,1,1220
depois,CESARIANO,Sudeste,SP,4,2,1216
depois,CESARIANO,Sul,PR,2,0,1205
depois,CESARIANO,Sul,SC,3,2,1181
durante,CESARIANO,Sul,SC,4,2,1178
antes,NORMAL,Norte,AC,1,1,1177
depois,NORMAL,Nordeste,CE,5,1,1175
depois,CESARIANO,Norte,AP,2,1,1170
durante,CESARIANO,Norte,RO,3,1,1154
depois,CESARIANO,Sul,PR,1,0,1150
depois,CESARIANO,Sul,PR,2,1,1143
depois,NORMAL,Centro-Oeste,MT,2,2,1142
depois,CESARIANO,Sudeste,MG,4,1,1141
antes,CESARIANO,Nordeste,PI,3,2,1135
depois,CESARIANO,Norte,RO,1,1,1134
durante,NORMAL,Sul,SC,0,2,1128
depois,NORMAL,Norte,AM,1,2,1124
depois,NORMAL,Sudeste,MG,1,2,1097
durante,CESARIANO,Norte,TO,4,1,1097
antes,CESARIANO,Sudeste,MG,3,2,1095
